,condition,Genotype,target.gene,bio.rep,Tech. rep,Cq,SQ,Rep1-2,QC
,mtk,GFP,mtk,1,2,27.40,,0.51,1
,mtk,GFP,mtk,2,1,26.62,,,1
,mtk,GFP,mtk,2,2,27.52,,-0.90,1
,mtk,GFP,mtk,3,1,27.48,,,1
,mtk,GFP,mtk,3,2,27.65,,-0.17,1
,Baseline,GFP,mtk,1,1,27.73,,,1
,Baseline,GFP,mtk,1,2,27.48,,0.26,1
,Baseline,GFP,mtk,2,1,26.64,,,1
,Baseline,GFP,mtk,2,2,27.24,,-0.59,1
,Baseline,GFP,mtk,3,1,27.06,,,1
,Baseline,GFP,mtk,3,2,27.82,,-0.75,1
,mtk,GFP,RpL32,1,1,27.13,,,1
,mtk,GFP,RpL32,1,2,26.23,,0.90,1
,mtk,GFP,RpL32,2,1,26.97,,,1
,mtk,GFP,RpL32,2,2,27.00,,-0.03,1
,mtk,GFP,RpL32,3,1,24.25,,,1
,mtk,GFP,RpL32,3,2,24.22,,0.03,1
,Baseline,GFP,RpL32,1,1,20.65,,,1
,Baseline,GFP,RpL32,1,2,20.37,,0.27,1
,Baseline,GFP,RpL32,2,1,17.89,,,1
,Baseline,GFP,RpL32,2,2,18.14,,-0.26,1
,Baseline,GFP,RpL32,3,1,27.44,,,1
,Baseline,GFP,RpL32,3,2,28.04,,-0.60,1
,mtk,HP1C,mtk,1,1,26.30,,,1
,mtk,HP1C,mtk,1,2,25.68,,0.63,1
,mtk,HP1C,mtk,2,1,23.72,,,1
,mtk,HP1C,mtk,2,2,24.56,,-0.84,1
,mtk,HP1C,mtk,3,1,26.57,,,1
,mtk,HP1C,mtk,3,2,26.52,,0.05,1
,mtk,HP1C,mtk,4,1,22.15,,,1
,mtk,HP1C,mtk,4,2,23.02,,-0.87,1
,Baseline,HP1C,mtk,1,1,25.19,,,1
,Baseline,HP1C,mtk,1,2,25.93,,-0.74,1
,Baseline,HP1C,mtk,2,1,25.81,,,1
,Baseline,HP1C,mtk,2,2,25.82,,-0.01,1
,Baseline,HP1C,mtk,3,1,26.52,,,1
,Baseline,HP1C,mtk,3,2,26.58,,-0.05,1
,mtk,HP1C,RpL32,1,1,29.71,,,1
,mtk,HP1C,RpL32,1,2,29.55,,0.16,1
,mtk,HP1C,RpL32,2,1,29.27,,,1
,mtk,HP1C,RpL32,2,2,29.56,,-0.30,1
,mtk,HP1C,RpL32,3,1,27.77,,,1
,mtk,HP1C,RpL32,3,2,27.58,,0.18,1
,mtk,HP1C,RpL32,4,1,28.33,,,1
,mtk,HP1C,RpL32,4,2,27.38,,0.95,1
,Baseline,HP1C,RpL32,1,1,17.63,,,1
,Baseline,HP1C,RpL32,1,2,17.43,,0.20,1
,Baseline,HP1C,RpL32,2,1,18.50,,,1
,Baseline,HP1C,RpL32,2,2,18.36,,0.14,1
,Baseline,HP1C,RpL32,3,1,23.80,,,1
,Baseline,HP1C,RpL32,3,2,24.28,,-0.48,1
,mtk,GFP,mtk,1,1,25.82,,,1
,mtk,GFP,mtk,1,2,25.44,,0.39,1
,mtk,GFP,mtk,2,1,25.45,,,1
,mtk,GFP,mtk,2,2,25.10,,0.35,1
,mtk,GFP,mtk,3,1,26.14,,,1
,mtk,GFP,mtk,3,2,26.22,,-0.08,1
,Baseline,GFP,mtk,1,1,25.25,,,1
,Baseline,GFP,mtk,1,2,25.49,,-0.24,1
,Baseline,GFP,mtk,2,1,26.44,,,1
,Baseline,GFP,mtk,2,2,25.54,,0.89,1
,Baseline,GFP,mtk,3,1,26.71,,,1
,Baseline,GFP,mtk,3,2,26.72,,-0.01,1
,mtk,GFP,RpL32,1,1,27.26,,,1
,mtk,GFP,RpL32,1,2,26.86,,0.40,1
,mtk,GFP,RpL32,2,1,26.68,,,1
,mtk,GFP,RpL32,2,2,26.72,,-0.04,1
,mtk,GFP,RpL32,3,1,23.55,,,1
,mtk,GFP,RpL32,3,2,23.62,,-0.08,1
,Baseline,GFP,RpL32,1,1,18.87,,,1
,Baseline,GFP,RpL32,1,2,18.46,,0.41,1
,Baseline,GFP,RpL32,2,1,21.18,,,1
,Baseline,GFP,RpL32,2,2,20.81,,0.37,1
,Baseline,GFP,RpL32,3,1,28.35,,,1
,Baseline,GFP,RpL32,3,2,28.23,,0.12,1
