FBgn,exon_num
FBgn0001257,12
FBgn0001258,16
FBgn0001259,1
FBgn0001263,18
FBgn0001269,13
FBgn0001276,1
FBgn0001280,11
FBgn0001281,4
FBgn0001285,2
FBgn0001291,7
FBgn0001296,11
FBgn0001297,16
FBgn0001301,12
FBgn0001308,4
FBgn0001311,34
FBgn0001313,12
FBgn0001316,119
FBgn0001319,57
FBgn0001320,6
FBgn0001321,6
FBgn0001323,8
FBgn0001324,11
FBgn0001325,4
FBgn0001330,10
FBgn0001341,4
FBgn0001404,9
FBgn0001491,2
FBgn0001565,8
FBgn0001612,5
FBgn0001624,248
FBgn0001941,4
FBgn0001942,33
FBgn0001961,5
FBgn0001965,7
FBgn0001967,1
FBgn0001970,1
FBgn0001977,4
FBgn0001978,20
FBgn0001981,1
FBgn0001983,2
FBgn0001986,2
FBgn0001987,41
FBgn0001989,6
FBgn0001990,8
FBgn0001991,326
FBgn0001992,2
FBgn0001994,6
FBgn0001995,2
FBgn0002021,2
FBgn0002022,2
FBgn0002023,52
FBgn0002031,8
FBgn0002036,3
FBgn0002044,22
FBgn0002069,16
FBgn0002121,105
FBgn0002174,9
FBgn0002183,17
FBgn0002283,8
FBgn0002284,2
FBgn0002306,40
FBgn0002354,3
FBgn0002413,17
FBgn0002431,38
FBgn0002440,19
FBgn0002441,5
FBgn0002466,14
FBgn0002521,14
FBgn0002522,6
FBgn0002524,8
FBgn0002525,15
FBgn0002526,15
FBgn0002531,4
FBgn0002533,4
FBgn0002534,4
FBgn0002535,4
FBgn0002542,5
FBgn0002543,28
FBgn0002552,2
FBgn0002561,1
FBgn0002562,2
FBgn0002563,4
FBgn0002564,2
FBgn0002565,2
FBgn0002566,47
FBgn0002567,28
FBgn0002569,3
FBgn0002570,3
FBgn0002571,4
FBgn0002573,4
FBgn0002576,11
FBgn0002577,8
FBgn0002578,4
FBgn0002579,14
FBgn0002590,19
FBgn0002592,1
FBgn0002593,4
FBgn0002609,1
FBgn0002622,4
FBgn0002626,12
FBgn0002629,1
FBgn0002631,1
FBgn0002632,1
FBgn0002633,1
FBgn0002638,10
FBgn0002641,8
FBgn0002643,23
FBgn0002645,8
FBgn0002673,8
FBgn0002707,15
FBgn0002709,29
FBgn0002715,5
FBgn0002716,3
FBgn0002719,11
FBgn0002723,4
FBgn0002732,1
FBgn0002733,1
FBgn0002734,1
FBgn0002735,1
FBgn0002736,2
FBgn0002772,17
FBgn0002773,3
FBgn0002774,9
FBgn0002775,6
FBgn0002778,14
FBgn0002780,10
FBgn0002781,164
FBgn0002783,16
FBgn0002787,7
FBgn0002789,7
FBgn0002791,8
FBgn0002838,1
FBgn0002842,3
FBgn0002855,2
FBgn0002856,6
FBgn0002862,4
FBgn0002863,2
FBgn0002865,1
FBgn0002868,4
FBgn0002869,6
FBgn0002872,36
FBgn0002873,68
FBgn0002878,1
FBgn0002887,8
FBgn0002891,12
FBgn0002899,7
FBgn0002901,4
FBgn0002905,7
FBgn0002906,4
FBgn0002909,18
FBgn0002914,11
FBgn0002917,32
FBgn0002921,109
FBgn0002922,10
FBgn0002924,6
FBgn0002926,15
FBgn0002930,3
FBgn0002931,4
FBgn0002932,15
FBgn0002933,1
FBgn0002936,2
FBgn0002937,4
FBgn0002938,48
FBgn0002939,8
FBgn0002940,5
FBgn0002941,8
FBgn0002945,13
FBgn0002948,14
FBgn0002962,7
FBgn0002973,13
FBgn0002985,2
FBgn0002989,6
FBgn0003002,3
FBgn0003008,4
FBgn0003009,14
FBgn0003011,5
FBgn0003015,13
FBgn0003016,44
FBgn0003023,42
FBgn0003028,21
FBgn0003034,2
FBgn0003041,62
FBgn0003042,3
FBgn0003044,8
FBgn0003046,2
FBgn0003048,30
FBgn0003053,6
FBgn0003057,2
FBgn0003060,2
FBgn0003062,3
FBgn0003065,2
FBgn0003067,2
FBgn0003068,17
FBgn0003071,51
FBgn0003074,16
FBgn0003076,4
FBgn0003079,12
FBgn0003082,5
FBgn0003086,1
FBgn0003087,6
FBgn0003089,65
FBgn0003090,19
FBgn0003091,83
FBgn0003093,43
FBgn0003114,3
FBgn0003116,2
FBgn0003117,16
FBgn0003118,24
FBgn0003124,10
FBgn0003129,2
FBgn0003130,10
FBgn0003132,2
FBgn0003134,10
FBgn0003137,63
FBgn0003139,15
FBgn0003140,2
FBgn0003141,5
FBgn0003145,4
FBgn0003149,31
FBgn0003159,24
FBgn0003162,15
FBgn0003165,83
FBgn0003169,18
FBgn0003174,20
FBgn0003175,45
FBgn0003187,21
FBgn0003189,24
FBgn0003204,30
FBgn0003205,4
FBgn0003206,3
FBgn0003209,47
FBgn0003210,13
FBgn0003218,136
FBgn0003227,4
FBgn0003231,6
FBgn0003248,4
FBgn0003249,1
FBgn0003250,2
FBgn0003254,6
FBgn0003255,15
FBgn0003256,52
FBgn0003257,3
FBgn0003261,75
FBgn0003267,6
FBgn0003268,14
FBgn0003270,1
FBgn0003274,1
FBgn0003275,2
FBgn0003277,4
FBgn0003278,3
FBgn0003279,4
FBgn0003285,16
FBgn0003292,4
FBgn0003295,4
FBgn0003300,7
FBgn0003301,117
FBgn0003302,5
FBgn0003308,4
FBgn0003310,10
FBgn0003312,6
FBgn0003313,6
FBgn0003317,22
FBgn0003319,22
FBgn0003321,25
FBgn0003326,8
FBgn0003330,2
FBgn0003334,8
FBgn0003339,12
FBgn0003345,227
FBgn0003346,17
FBgn0003353,46
FBgn0003356,1
FBgn0003357,2
FBgn0003358,2
FBgn0003360,22
FBgn0003366,12
FBgn0003371,176
FBgn0003372,2
FBgn0003373,2
FBgn0003374,1
FBgn0003375,3
FBgn0003377,2
FBgn0003378,2
FBgn0003380,178
FBgn0003382,29
FBgn0003386,47
FBgn0003388,21
FBgn0003390,32
FBgn0003391,2
FBgn0003392,230
FBgn0003396,46
FBgn0003401,3
FBgn0003410,7
FBgn0003411,1
FBgn0003415,53
FBgn0003416,4
FBgn0003423,152
FBgn0003429,544
FBgn0003430,1
FBgn0003435,196
FBgn0003444,6
FBgn0003447,25
FBgn0003448,1
FBgn0003449,2
FBgn0003450,13
FBgn0003459,6
FBgn0003460,7
FBgn0003462,4
FBgn0003463,19
FBgn0003464,36
FBgn0003475,133
FBgn0003479,3
FBgn0003480,4
FBgn0003482,6
FBgn0003483,11
FBgn0003486,2
FBgn0003495,47
FBgn0003499,20
FBgn0003502,89
FBgn0003507,46
FBgn0003510,3
FBgn0003511,4
FBgn0003512,1
FBgn0003513,26
FBgn0003514,14
FBgn0003515,7
FBgn0003517,11
FBgn0003520,17
FBgn0003525,4
FBgn0003527,4
FBgn0003545,6
FBgn0003557,35
FBgn0003559,28
FBgn0003567,22
FBgn0003575,18
FBgn0003598,10
FBgn0003607,9
FBgn0003612,108
FBgn0003638,60
FBgn0003651,18
FBgn0003654,130
FBgn0003655,3
FBgn0003656,26
FBgn0003660,22
FBgn0003676,9
FBgn0003683,1
FBgn0003687,2
FBgn0003701,6
FBgn0003710,6
FBgn0003714,4
FBgn0003716,15
FBgn0003719,7
FBgn0003720,2
FBgn0003721,142
FBgn0003731,10
FBgn0003733,28
FBgn0003741,6
FBgn0003742,40
FBgn0003744,10
FBgn0003747,7
FBgn0003748,46
FBgn0003751,1
FBgn0003861,28
FBgn0003862,39
FBgn0003863,1
FBgn0003865,1
FBgn0003866,3
FBgn0003867,10
FBgn0003870,40
FBgn0003882,2
FBgn0003884,2
FBgn0003885,1
FBgn0003886,3
FBgn0003888,8
FBgn0003889,2
FBgn0003890,14
FBgn0003891,18
FBgn0003892,6
FBgn0003896,26
FBgn0003900,8
FBgn0003916,1
FBgn0003920,1
FBgn0003922,1
FBgn0003923,1
FBgn0003926,1
FBgn0003930,1
FBgn0003931,1
FBgn0003933,1
FBgn0003934,1
FBgn0003935,1
FBgn0003936,1
FBgn0003938,1
FBgn0003941,4
FBgn0003942,3
FBgn0003943,9
FBgn0003944,18
FBgn0003950,13
FBgn0003961,2
FBgn0003963,41
FBgn0003964,4
FBgn0003965,6
FBgn0003969,58
FBgn0003975,8
FBgn0003977,6
FBgn0003978,3
FBgn0003979,2
FBgn0003980,2
FBgn0003983,1
FBgn0003984,12
FBgn0003996,6
FBgn0003997,8
FBgn0004003,4
FBgn0004034,2
FBgn0004045,4
FBgn0004047,6
FBgn0004049,38
FBgn0004050,9
FBgn0004052,1
FBgn0004053,2
FBgn0004054,3
FBgn0004055,10
FBgn0004057,12
FBgn0004066,3
FBgn0004087,4
FBgn0004101,10
FBgn0004102,24
FBgn0004103,2
FBgn0004106,3
FBgn0004107,20
FBgn0004108,9
FBgn0004110,3
FBgn0004117,24
FBgn0004118,20
FBgn0004132,2
FBgn0004133,10
FBgn0004143,1
FBgn0004167,105
FBgn0004168,22
FBgn0004169,165
FBgn0004170,1
FBgn0004171,1
FBgn0004172,2
FBgn0004173,2
FBgn0004174,4
FBgn0004175,2
FBgn0004177,12
FBgn0004179,37
FBgn0004181,4
FBgn0004183,1
FBgn0004185,1
FBgn0004186,1
FBgn0004187,1
FBgn0004188,1
FBgn0004189,1
FBgn0004190,1
FBgn0004191,1
FBgn0004192,1
FBgn0004197,30
FBgn0004198,22
FBgn0004227,19
FBgn0004228,6
FBgn0004237,16
FBgn0004240,1
FBgn0004242,86
FBgn0004244,60
FBgn0004359,6
FBgn0004360,10
FBgn0004362,12
FBgn0004363,20
FBgn0004364,1
FBgn0004367,5
FBgn0004368,82
FBgn0004369,63
FBgn0004370,79
FBgn0004372,6
FBgn0004373,60
FBgn0004374,2
FBgn0004378,6
FBgn0004379,15
FBgn0004380,1
FBgn0004381,6
FBgn0004387,23
FBgn0004389,1
FBgn0004390,15
FBgn0004391,8
FBgn0004394,18
FBgn0004395,53
FBgn0004396,12
FBgn0004397,18
FBgn0004400,3
FBgn0004401,16
FBgn0004403,5
FBgn0004404,5
FBgn0004406,3
FBgn0004407,2
FBgn0004414,2
FBgn0004419,10
FBgn0004425,2
FBgn0004426,1
FBgn0004427,1
FBgn0004428,1
FBgn0004429,1
FBgn0004430,1
FBgn0004431,1
FBgn0004432,2
FBgn0004435,67
FBgn0004436,6
FBgn0004449,33
FBgn0004456,53
FBgn0004463,2
FBgn0004465,3
FBgn0004507,8
FBgn0004509,99
FBgn0004510,10
FBgn0004511,4
FBgn0004512,13
FBgn0004513,12
FBgn0004514,8
FBgn0004516,33
FBgn0004552,2
FBgn0004554,3
FBgn0004556,3
FBgn0004567,1
FBgn0004569,4
FBgn0004573,5
FBgn0004574,2
FBgn0004575,52
FBgn0004577,27
FBgn0004580,23
FBgn0004581,10
FBgn0004583,12
FBgn0004584,9
FBgn0004587,87
FBgn0004588,3
FBgn0004589,6
FBgn0004590,3
FBgn0004591,3
FBgn0004592,2
FBgn0004593,2
FBgn0004594,3
FBgn0004595,37
FBgn0004597,2
FBgn0004598,145
FBgn0004606,13
FBgn0004607,41
FBgn0004611,102
FBgn0004618,14
FBgn0004619,13
FBgn0004620,12
FBgn0004622,30
FBgn0004623,6
FBgn0004629,2
FBgn0004635,8
FBgn0004636,5
FBgn0004638,29
FBgn0004643,2
FBgn0004644,3
FBgn0004646,39
FBgn0004647,18
FBgn0004648,80
FBgn0004649,9
FBgn0004650,7
FBgn0004652,113
FBgn0004654,6
FBgn0004655,23
FBgn0004656,75
FBgn0004657,28
FBgn0004666,32
FBgn0004687,5
FBgn0004698,14
FBgn0004777,2
FBgn0004778,2
FBgn0004779,2
FBgn0004780,2
FBgn0004781,2
FBgn0004782,2
FBgn0004783,2
FBgn0004784,11
FBgn0004795,52
FBgn0004797,40
FBgn0004811,9
FBgn0004828,12
FBgn0004832,2
FBgn0004837,8
FBgn0004838,31
FBgn0004839,14
FBgn0004841,15
FBgn0004842,22
FBgn0004852,41
FBgn0004854,7
FBgn0004855,6
FBgn0004856,6
FBgn0004858,6
FBgn0004859,18
FBgn0004860,10
FBgn0004861,21
FBgn0004862,2
FBgn0004863,4
FBgn0004864,10
FBgn0004865,24
FBgn0004867,6
FBgn0004868,9
FBgn0004870,16
FBgn0004872,16
FBgn0004875,86
FBgn0004876,17
FBgn0004878,9
FBgn0004880,4
FBgn0004882,55
FBgn0004885,42
FBgn0004888,8
FBgn0004889,44
FBgn0004892,2
FBgn0004893,27
FBgn0004895,6
FBgn0004896,2
FBgn0004897,2
FBgn0004898,1
FBgn0004901,4
FBgn0004903,52
FBgn0004907,84
FBgn0004908,3
FBgn0004910,25
FBgn0004911,1
FBgn0004913,8
FBgn0004914,37
FBgn0004915,8
FBgn0004919,29
FBgn0004921,6
FBgn0004924,34
FBgn0004926,3
FBgn0004956,11
FBgn0004957,4
FBgn0004959,6
FBgn0005198,30
FBgn0005278,81
FBgn0005322,6
FBgn0005355,1
FBgn0005386,12
FBgn0005390,7
FBgn0005391,4
FBgn0005411,20
FBgn0005427,97
FBgn0005533,4
FBgn0005536,213
FBgn0005558,33
FBgn0005561,80
FBgn0005564,19
FBgn0005585,8
FBgn0005586,10
FBgn0005590,2
FBgn0005593,6
FBgn0005596,12
FBgn0005612,6
FBgn0005613,3
FBgn0005614,42
FBgn0005616,5
FBgn0005617,4
FBgn0005619,35
FBgn0005624,15
FBgn0005626,19
FBgn0005631,36
FBgn0005632,128
FBgn0005633,8
FBgn0005636,24
FBgn0005638,2
FBgn0005640,158
FBgn0005642,3
FBgn0005648,11
FBgn0005649,30
FBgn0005654,13
FBgn0005655,4
FBgn0005658,47
FBgn0005659,10
FBgn0005660,13
FBgn0005664,4
FBgn0005666,208
FBgn0005670,6
FBgn0005671,11
FBgn0005672,13
FBgn0005674,9
FBgn0005677,69
FBgn0005683,4
FBgn0005694,13
FBgn0005695,9
FBgn0005696,1
FBgn0005771,4
FBgn0005775,13
FBgn0005777,26
FBgn0005778,1
FBgn0005779,1
FBgn0008635,6
FBgn0008636,5
FBgn0008646,4
FBgn0008651,9
FBgn0010014,6
FBgn0010015,37
FBgn0010019,1
FBgn0010038,1
FBgn0010039,1
FBgn0010040,1
FBgn0010041,1
FBgn0010042,1
FBgn0010043,1
FBgn0010044,1
FBgn0010051,58
FBgn0010052,21
FBgn0010053,4
FBgn0010078,4
FBgn0010097,8
FBgn0010100,16
FBgn0010105,4
FBgn0010109,3
FBgn0010113,23
FBgn0010114,32
FBgn0010173,4
FBgn0010194,2
FBgn0010197,69
FBgn0010198,13
FBgn0010213,4
FBgn0010215,23
FBgn0010217,10
FBgn0010220,6
FBgn0010222,9
FBgn0010223,5
FBgn0010225,56
FBgn0010226,22
FBgn0010228,12
FBgn0010235,18
FBgn0010238,2
FBgn0010240,8
FBgn0010241,9
FBgn0010246,28
FBgn0010247,6
FBgn0010258,5
FBgn0010263,72
FBgn0010265,9
FBgn0010269,8
FBgn0010278,3
FBgn0010280,93
FBgn0010282,4
FBgn0010287,2
FBgn0010288,12
FBgn0010292,5
FBgn0010294,1
FBgn0010295,1
FBgn0010296,1
FBgn0010300,18
FBgn0010303,48
FBgn0010309,17
FBgn0010313,5
FBgn0010314,2
FBgn0010315,17
FBgn0010316,3
FBgn0010317,8
FBgn0010323,8
FBgn0010328,54
FBgn0010329,15
FBgn0010333,2
FBgn0010339,4
FBgn0010340,8
FBgn0010341,9
FBgn0010342,2
FBgn0010348,41
FBgn0010350,15
FBgn0010352,91
FBgn0010355,91
FBgn0010356,1
FBgn0010357,2
FBgn0010358,1
FBgn0010359,1
FBgn0010379,35
FBgn0010380,3
FBgn0010382,34
FBgn0010383,10
FBgn0010385,1
FBgn0010387,5
FBgn0010388,2
FBgn0010389,6
FBgn0010391,3
FBgn0010395,12
FBgn0010397,8
FBgn0010398,4
FBgn0010399,15
FBgn0010401,8
FBgn0010403,3
FBgn0010406,2
FBgn0010407,8
FBgn0010408,14
FBgn0010409,2
FBgn0010411,7
FBgn0010412,13
FBgn0010414,16
FBgn0010415,58
FBgn0010416,10
FBgn0010417,8
FBgn0010421,2
FBgn0010422,4
FBgn0010423,8
FBgn0010424,10
FBgn0010425,1
FBgn0010431,1
FBgn0010433,1
FBgn0010434,93
FBgn0010435,36
FBgn0010438,4
FBgn0010441,6
FBgn0010452,4
FBgn0010453,8
FBgn0010470,24
FBgn0010473,118
FBgn0010482,161
FBgn0010488,12
FBgn0010497,5
FBgn0010501,3
FBgn0010504,9
FBgn0010516,8
FBgn0010520,2
FBgn0010531,6
FBgn0010548,152
FBgn0010549,21
FBgn0010551,37
FBgn0010583,24
FBgn0010590,3
FBgn0010591,11
FBgn0010602,9
FBgn0010607,7
FBgn0010611,11
FBgn0010612,8
FBgn0010620,2
FBgn0010621,6
FBgn0010622,3
FBgn0010638,3
FBgn0010651,13
FBgn0010660,8
FBgn0010741,4
FBgn0010747,2
FBgn0010750,9
FBgn0010762,46
FBgn0010768,3
FBgn0010770,4
FBgn0010772,24
FBgn0010774,4
FBgn0010786,4
FBgn0010803,4
FBgn0010808,3
FBgn0010812,6
FBgn0010825,138
FBgn0010830,4
FBgn0010877,16
FBgn0010894,2
FBgn0010905,168
FBgn0010909,145
FBgn0010926,6
FBgn0011016,3
FBgn0011020,2
FBgn0011202,22
FBgn0011204,4
FBgn0011205,47
FBgn0011206,61
FBgn0011207,5
FBgn0011211,4
FBgn0011217,16
FBgn0011224,352
FBgn0011225,150
FBgn0011227,2
FBgn0011230,26
FBgn0011232,2
FBgn0011236,3
FBgn0011239,8
FBgn0011244,1
FBgn0011259,155
FBgn0011260,60
FBgn0011270,1
FBgn0011272,11
FBgn0011273,2
FBgn0011274,26
FBgn0011276,2
FBgn0011277,4
FBgn0011278,2
FBgn0011279,5
FBgn0011280,8
FBgn0011281,15
FBgn0011282,9
FBgn0011283,1
FBgn0011284,17
FBgn0011286,272
FBgn0011288,16
FBgn0011289,19
FBgn0011290,12
FBgn0011291,2
FBgn0011293,2
FBgn0011294,2
FBgn0011296,6
FBgn0011297,2
FBgn0011300,24
FBgn0011305,2
FBgn0011327,4
FBgn0011335,4
FBgn0011336,5
FBgn0011361,13
FBgn0011455,8
FBgn0011474,10
FBgn0011476,4
FBgn0011481,8
FBgn0011509,6
FBgn0011554,1
FBgn0011555,1
FBgn0011556,1
FBgn0011559,4
FBgn0011566,5
FBgn0011569,5
FBgn0011570,4
FBgn0011573,4
FBgn0011576,10
FBgn0011581,9
FBgn0011582,30
FBgn0011584,14
FBgn0011586,14
FBgn0011589,34
FBgn0011591,7
FBgn0011592,30
FBgn0011596,1
FBgn0011603,48
FBgn0011604,20
FBgn0011606,12
FBgn0011638,2
FBgn0011640,21
FBgn0011642,40
FBgn0011648,8
FBgn0011653,18
FBgn0011655,26
FBgn0011656,69
FBgn0011659,4
FBgn0011660,8
FBgn0011661,94
FBgn0011666,40
FBgn0011668,1
FBgn0011669,1
FBgn0011670,1
FBgn0011672,71
FBgn0011674,4
FBgn0011676,54
FBgn0011692,6
FBgn0011693,12
FBgn0011694,4
FBgn0011695,6
FBgn0011701,2
FBgn0011703,4
FBgn0011704,3
FBgn0011705,13
FBgn0011706,1
FBgn0011708,5
FBgn0011710,5
FBgn0011715,2
FBgn0011722,12
FBgn0011723,14
FBgn0011725,43
FBgn0011726,4
FBgn0011737,10
FBgn0011739,8
FBgn0011740,10
FBgn0011741,1
FBgn0011742,20
FBgn0011743,2
FBgn0011745,6
FBgn0011746,15
FBgn0011747,44
FBgn0011754,54
FBgn0011758,6
FBgn0011760,15
FBgn0011761,2
FBgn0011762,3
FBgn0011763,26
FBgn0011766,42
FBgn0011768,3
FBgn0011769,7
FBgn0011770,1
FBgn0011771,2
FBgn0011774,5
FBgn0011785,15
FBgn0011787,2
FBgn0011802,4
FBgn0011812,2
FBgn0011817,70
FBgn0011818,16
FBgn0011822,1
FBgn0011824,3
FBgn0011826,3
FBgn0011828,45
FBgn0011829,21
FBgn0011832,1
FBgn0011834,1
FBgn0011836,12
FBgn0011837,11
FBgn0011840,1
FBgn0011844,1
FBgn0011845,1
FBgn0011848,1
FBgn0011849,1
FBgn0011850,1
FBgn0011851,1
FBgn0011852,1
FBgn0011853,1
FBgn0011854,1
FBgn0011855,1
FBgn0011858,1
FBgn0011859,1
FBgn0011860,1
FBgn0011861,1
FBgn0011862,1
FBgn0011863,1
FBgn0011864,1
FBgn0011865,1
FBgn0011866,1
FBgn0011867,1
FBgn0011868,1
FBgn0011869,1
FBgn0011870,1
FBgn0011871,1
FBgn0011872,1
FBgn0011877,1
FBgn0011878,1
FBgn0011879,1
FBgn0011880,1
FBgn0011881,1
FBgn0011882,1
FBgn0011883,1
FBgn0011884,1
FBgn0011885,1
FBgn0011887,1
FBgn0011888,1
FBgn0011889,1
FBgn0011890,1
FBgn0011891,1
FBgn0011892,1
FBgn0011893,1
FBgn0011894,1
FBgn0011895,1
FBgn0011896,1
FBgn0011897,1
FBgn0011902,1
FBgn0011904,1
FBgn0011905,1
FBgn0011906,1
FBgn0011909,2
FBgn0011910,2
FBgn0011915,1
FBgn0011916,1
FBgn0011919,1
FBgn0011921,1
FBgn0011927,1
FBgn0011928,1
FBgn0011931,1
FBgn0011932,1
FBgn0011933,1
FBgn0011934,1
FBgn0011935,1
FBgn0011936,1
FBgn0011937,1
FBgn0011938,1
FBgn0011944,1
FBgn0011945,1
FBgn0011948,1
FBgn0011949,1
FBgn0011950,1
FBgn0011951,1
FBgn0011952,1
FBgn0011953,1
FBgn0011954,1
FBgn0011955,1
FBgn0011956,1
FBgn0011957,1
FBgn0011958,1
FBgn0011959,1
FBgn0011960,1
FBgn0011961,1
FBgn0011962,1
FBgn0011963,1
FBgn0011965,1
FBgn0011966,1
FBgn0011970,1
FBgn0011971,1
FBgn0011974,1
FBgn0011975,1
FBgn0011976,1
FBgn0011977,1
FBgn0011980,1
FBgn0011981,1
FBgn0011982,1
FBgn0011983,1
FBgn0011984,1
FBgn0011985,1
FBgn0011986,1
FBgn0011987,1
FBgn0011993,1
FBgn0011994,1
FBgn0011998,1
FBgn0011999,1
FBgn0012000,1
FBgn0012001,1
