Name,FlyBase_FBgn,Chromosome,Start,Stop,Strand,HP1a,HP1B,HP1C,FlyBase_FBtr,CME,S2,BG3,FlyBase_FBpp
snRNP-U1-70K,FBgn0016978,2L,6968711,6971737,-,0,1,1,FBtr0331375,8.99286333333333,4.4613945,14.7596905,FBpp0303793
Br140,FBgn0033155,2R,7272275,7278101,-,0,0,0,FBtr0089021,22.841941,21.1893035,17.9504935,FBpp0088092
Br140,FBgn0033155,2R,7272275,7278101,-,0,0,0,FBtr0345370,4.36151266666667,3.0605645,1.6242665,FBpp0311524
CG8654,FBgn0034479,2R,19979242,19984895,+,0,0,0,FBtr0086340,0,0,0,FBpp0085642
CG8654,FBgn0034479,2R,19979242,19984895,+,0,0,0,FBtr0305676,0,0.234008,0,FBpp0296956
CG8654,FBgn0034479,2R,19979242,19984895,+,0,0,0,FBtr0305677,0,0,0,FBpp0296957
CG8654,FBgn0034479,2R,19979242,19984895,+,0,0,0,FBtr0342667,0,0,0,FBpp0309574
Syt7,FBgn0039900,4,278685,306481,-,1,0,0,FBtr0089134,0,0,0.4345585,FBpp0088202
Syt7,FBgn0039900,4,278685,306481,-,1,0,0,FBtr0089139,0,0.0638105,0,FBpp0089328
Syt7,FBgn0039900,4,278685,306481,-,1,0,0,FBtr0089137,0,0,0.3382345,FBpp0088205
Syt7,FBgn0039900,4,278685,306481,-,1,0,0,FBtr0343990,0.258143,0,0,FBpp0310439
Syt7,FBgn0039900,4,278685,306481,-,1,0,0,FBtr0305658,0,0.0922575,0,FBpp0296938
betaNACtes6,FBgn0052598,X,14316130,14317150,-,0,0,0,FBtr0073918,0,0.3658325,2.140629,FBpp0073735
Sac1,FBgn0283500,3L,1247817,1250451,+,1,0,0,FBtr0072652,116.058850666667,94.4038375,216.288576,FBpp0072546
Sac1,FBgn0283500,3L,1247817,1250451,+,1,0,0,FBtr0303217,0,0,0,FBpp0292309
Cyp6a19,FBgn0033979,2R,14877786,14879752,+,0,0,0,FBtr0087453,0.150704666666667,0.5586295,0.3608335,FBpp0086583
Cyp6a19,FBgn0033979,2R,14877786,14879752,+,0,0,0,FBtr0339984,0.0618663333333333,0,0,FBpp0309005
Cyp6a18,FBgn0039519,3R,27478675,27482904,+,0,0,0,FBtr0085183,0,0,0,FBpp0084553
Cyp6a18,FBgn0039519,3R,27478675,27482904,+,0,0,0,FBtr0339319,0,0,0,FBpp0308423
Cyp6a17,FBgn0015714,2R,14873953,14875739,+,0,0,0,FBtr0087451,0.176586,67.044511,33.3514325,FBpp0086581
Cyp6a17,FBgn0015714,2R,14873953,14875739,+,0,0,0,FBtr0345527,0,6.4667805,4.161539,FBpp0311631
Cyp6a16,FBgn0031726,2L,5620615,5623762,-,0,0,0,FBtr0343243,0,0,0.0634775,FBpp0309923
Cyp6a16,FBgn0031726,2L,5620615,5623762,-,0,0,0,FBtr0343244,0,0,0,FBpp0309924
Cyp6a14,FBgn0033302,2R,8564187,8567202,-,0,1,0,FBtr0302331,0,24.464848,0,FBpp0311645
Cyp6a14,FBgn0033302,2R,8564187,8567202,-,0,1,0,FBtr0345575,2.53617333333333,16.3254455,4.0458445,FBpp0311646
Cyp6a13,FBgn0033304,2R,8570499,8572147,+,0,0,0,FBtr0088690,2.35602166666667,28.6486485,0.774763,FBpp0087770
SPE,FBgn0039102,3R,23686255,23688147,+,0,0,0,FBtr0084440,0.765973333333334,0.614482,1.050999,FBpp0083832
Ent3,FBgn0036319,3L,12853646,12857428,+,0,0,0,FBtr0075935,0.251651,0.0338505,0.4813425,FBpp0075667
Ent3,FBgn0036319,3L,12853646,12857428,+,0,0,0,FBtr0332049,0,0.070186,0,FBpp0304359
Ent3,FBgn0036319,3L,12853646,12857428,+,0,0,0,FBtr0345343,0,0,0,FBpp0311498
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0073833,0,0.2372415,0.241883,FBpp0073664
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0309245,0.545953,0.845059,0.647275,FBpp0301184
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0309246,6.92414666666667,11.36731,9.100299,FBpp0301185
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0340444,0.512412666666667,0,0.372823,FBpp0309386
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0340445,0,0,0,FBpp0309387
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0301044,38.8945846666667,66.9243845,29.6529205,FBpp0290266
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0301045,0,0,0,FBpp0290267
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0301046,0,0,0,FBpp0290268
AMPdeam,FBgn0052626,X,13830741,13845866,-,0,1,1,FBtr0303292,0,0,0,FBpp0292384
lncRNA:CR43930,FBgn0264551,3L,20913158,20913705,-,0,0,0,NA,NA,NA,NA,NA
CG34027,FBgn0054027,3R,25103670,25109032,-,0,0,1,FBtr0100082,0.030673,0,0,FBpp0099438
mir-4909,FBgn0263566,2R,7711417,7711476,+,0,0,0,NA,NA,NA,NA,NA
Mst77Y-8Psi,FBgn0267494,Y,3331980,3332699,+,0,0,0,NA,NA,NA,NA,NA
eIF4H2,FBgn0039797,3R,30726087,30728052,+,0,0,0,FBtr0085699,0,2.2442845,0,FBpp0085061
eIF4H2,FBgn0039797,3R,30726087,30728052,+,0,0,0,FBtr0339513,0,0.8752135,0,FBpp0308596
Tektin-C,FBgn0035638,3L,5794405,5796543,-,0,0,0,FBtr0077115,0.418938666666667,0.165114,0,FBpp0076821
Tektin-C,FBgn0035638,3L,5794405,5796543,-,0,0,0,FBtr0331521,0.0983066666666667,0,0.108129,FBpp0303911
Tektin-C,FBgn0035638,3L,5794405,5796543,-,0,0,0,FBtr0331522,0,0,0.3814535,FBpp0303912
Tektin-A,FBgn0028902,2L,15854126,15856450,+,0,0,0,FBtr0080788,0,0.14585,0,FBpp0080346
Tektin-A,FBgn0028902,2L,15854126,15856450,+,0,0,0,FBtr0331277,0,0,0,FBpp0303715
CG13492,FBgn0034662,2R,21820662,21831409,-,0,0,0,FBtr0302446,0.359647333333333,0.052573,0,FBpp0291634
CG31710,FBgn0051710,2L,9702442,9705954,-,0,1,0,FBtr0079849,6.67737966666667,3.711709,4.4795405,FBpp0079446
CG31710,FBgn0051710,2L,9702442,9705954,-,0,1,0,FBtr0335508,0.502107,2.135959,0.405786,FBpp0307476
CG31710,FBgn0051710,2L,9702442,9705954,-,0,1,0,FBtr0339523,0.674137666666667,0.8453785,0.1970935,FBpp0308606
jigr1,FBgn0039350,3R,25637843,25651874,+,1,1,1,FBtr0084886,2.34479633333333,0,0,FBpp0084260
jigr1,FBgn0039350,3R,25637843,25651874,+,1,1,1,FBtr0084887,4.935093,0,1.8502605,FBpp0084261
jigr1,FBgn0039350,3R,25637843,25651874,+,1,1,1,FBtr0084888,3.040467,0,0,FBpp0084262
jigr1,FBgn0039350,3R,25637843,25651874,+,1,1,1,FBtr0084889,0,0,0,FBpp0084263
jigr1,FBgn0039350,3R,25637843,25651874,+,1,1,1,FBtr0113287,0,0,1.4971125,FBpp0112199
jigr1,FBgn0039350,3R,25637843,25651874,+,1,1,1,FBtr0113288,21.3247606666667,15.763875,15.1233485,FBpp0112200
jigr1,FBgn0039350,3R,25637843,25651874,+,1,1,1,FBtr0336450,1.08782733333333,0,0.750897,FBpp0307556
jigr1,FBgn0039350,3R,25637843,25651874,+,1,1,1,FBtr0445401,0.056357,0,0.072792,FBpp0401569
CG31712,FBgn0051712,2L,9934767,9938134,-,0,1,0,FBtr0079896,12.3129536666667,14.2960395,18.4773655,FBpp0079491
CG31712,FBgn0051712,2L,9934767,9938134,-,0,1,0,FBtr0331636,7.47311233333333,4.2860805,4.6286405,FBpp0304026
CG31715,FBgn0051715,2L,10341616,10342523,+,0,1,1,FBtr0079996,56.7466193333333,57.932364,74.3593445,FBpp0079586
CG31715,FBgn0051715,2L,10341616,10342523,+,0,1,1,FBtr0310098,0.631525,0.5356165,0,FBpp0301796
CG12589,FBgn0040684,3R,5137057,5138989,-,0,0,0,FBtr0078843,0,0,0,FBpp0078484
CG12589,FBgn0040684,3R,5137057,5138989,-,0,0,0,FBtr0339316,0,0,0,FBpp0308420
CG12589,FBgn0040684,3R,5137057,5138989,-,0,0,0,FBtr0339317,0,0,0,FBpp0308421
CG31717,FBgn0051717,2L,10250737,10251714,+,0,0,0,FBtr0079977,53.190839,42.026454,17.2882965,FBpp0079567
CG31717,FBgn0051717,2L,10250737,10251714,+,0,0,0,FBtr0333409,50.1026323333333,62.612787,69.7844495,FBpp0305601
CG4049,FBgn0034976,2R,24107087,24114292,-,0,1,0,FBtr0072285,3.37597933333333,2.8634305,1.9119095,FBpp0072192
CG42615,FBgn0261267,2R,8737370,8737790,+,0,0,0,FBtr0302222,0,0,0,FBpp0291432
CG42613,FBgn0261262,3R,18929196,18978088,+,1,1,1,FBtr0304688,3.079707,0.0190065,0,FBpp0293231
CG42613,FBgn0261262,3R,18929196,18978088,+,1,1,1,FBtr0304685,1.04381166666667,0,0.33927,FBpp0293228
CG42613,FBgn0261262,3R,18929196,18978088,+,1,1,1,FBtr0304686,0.342494333333333,0,0.0696365,FBpp0293229
CG42613,FBgn0261262,3R,18929196,18978088,+,1,1,1,FBtr0304687,1.21582233333333,0,0,FBpp0293230
lncRNA:CR43428,FBgn0263376,2R,14737578,14739242,-,0,0,1,NA,NA,NA,NA,NA
CG4042,FBgn0037018,3L,20770143,20771507,-,0,1,1,FBtr0078279,30.0855873333333,20.7036985,29.1724425,FBpp0077937
CG4042,FBgn0037018,3L,20770143,20771507,-,0,1,1,FBtr0321286,0,1.454449,0,FBpp0302832
CG4045,FBgn0025629,X,2074795,2075900,-,0,1,1,FBtr0070331,77.1528956666667,102.9559545,87.4747375,FBpp0070317
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0088414,0,0,0,FBpp0087502
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0088415,15.696347,9.828213,10.4970855,FBpp0087503
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0088412,0,0,0,FBpp0087500
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0088416,47.162069,32.219228,37.368987,FBpp0087504
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0088418,0,0,0,FBpp0089337
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0088419,0,0,0,FBpp0089338
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0088417,0.193194,0.8729095,0.2335795,FBpp0087505
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0088413,0,0,0,FBpp0087501
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0100182,229.76308,150.839225,128.4792445,FBpp0099539
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0100183,354.807466333333,154.598043,222.892438,FBpp0099540
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0332916,0,0,0,FBpp0305136
14-3-3zeta,FBgn0004907,2R,10099677,10109687,+,1,1,1,FBtr0332917,0,0,0,FBpp0305137
lncRNA:CR45732,FBgn0267296,3L,19439927,19441195,-,0,0,0,NA,NA,NA,NA,NA
FeCH,FBgn0266268,3R,31810460,31812296,-,1,0,0,FBtr0085849,241.523494333333,126.2317395,185.776064,FBpp0085208
FeCH,FBgn0266268,3R,31810460,31812296,-,1,0,0,FBtr0085850,0.416322333333333,0.5722995,2.0989585,FBpp0085209
FeCH,FBgn0266268,3R,31810460,31812296,-,1,0,0,FBtr0085851,2.936432,0.4853385,7.0285635,FBpp0085210
lncRNA:CR45733,FBgn0267297,3L,20912890,20913169,+,0,0,0,NA,NA,NA,NA,NA
CG17806,FBgn0038548,3R,17801542,17803260,-,0,1,0,FBtr0083527,4.418824,5.8053205,2.105115,FBpp0082951
lncRNA:CR43939,FBgn0264567,3L,21576033,21577219,-,0,0,0,NA,NA,NA,NA,NA
cactin,FBgn0031114,X,20424069,20426402,+,0,0,0,FBtr0340400,62.2031403333333,42.948923,45.5518745,FBpp0309346
lncRNA:CR45731,FBgn0267295,3L,19504986,19505295,-,0,0,0,NA,NA,NA,NA,NA
asRNA:CR43609,FBgn0263584,2L,21952,24237,+,1,0,0,NA,NA,NA,NA,NA
Gp210,FBgn0266580,2R,5760862,5774324,+,1,0,0,FBtr0086044,35.49187,45.149907,12.7624985,FBpp0085380
Gp210,FBgn0266580,2R,5760862,5774324,+,1,0,0,FBtr0335270,2.066268,0.5475945,0.4973505,FBpp0307249
lncRNA:CR45736,FBgn0267300,3L,23731614,23732177,-,1,0,0,NA,NA,NA,NA,NA
Prp38,FBgn0050342,2R,9143956,9145151,+,0,0,0,FBtr0088582,59.2794763333333,49.0581015,57.8314465,FBpp0087663
lncRNA:CR45881,FBgn0267541,3L,11666319,11667079,+,0,0,0,NA,NA,NA,NA,NA
Cyp6u1,FBgn0033121,2R,6971996,6975026,-,0,1,0,FBtr0086185,33.1051853333333,3.6765115,17.5427715,FBpp0085516
Cyp6u1,FBgn0033121,2R,6971996,6975026,-,0,1,0,FBtr0345011,0,14.892824,20.47801,FBpp0311262
Cyp6u1,FBgn0033121,2R,6971996,6975026,-,0,1,0,FBtr0345802,0.908322,5.428489,0,FBpp0311788
RpL24-like,FBgn0037899,3R,11430740,11431582,-,0,0,0,FBtr0082403,409.163673,505.0310005,600.3187735,FBpp0081879
Rtf1,FBgn0034722,2R,22375090,22378484,+,0,0,0,FBtr0071820,18.5836926666667,8.1575715,8.5885355,FBpp0071731
Rtf1,FBgn0034722,2R,22375090,22378484,+,0,0,0,FBtr0342988,10.3588046666667,6.808361,4.3380035,FBpp0309752
CG14569,FBgn0037123,3L,21730725,21731550,-,0,0,0,FBtr0078456,0,0,0,FBpp0078110
CG14568,FBgn0037124,3L,21732806,21733487,-,0,0,0,FBtr0078455,0,0,0,FBpp0078109
CG14567,FBgn0037126,3L,21737706,21738430,-,0,1,1,FBtr0078454,1.80267933333333,2.1347615,0,FBpp0078108
CG14566,FBgn0037127,3L,21739479,21740309,-,0,1,1,FBtr0078453,0,0,0,FBpp0078107
CG14566,FBgn0037127,3L,21739479,21740309,-,0,1,1,FBtr0332768,0,0,0,FBpp0305005
CG14565,FBgn0037129,3L,21743248,21744269,-,0,0,0,FBtr0078452,0.126780333333333,0,0,FBpp0078106
CG14564,FBgn0037131,3L,21757157,21758046,+,0,0,0,FBtr0078435,0.321856,0,0,FBpp0078089
CG14563,FBgn0037139,3L,21841808,21842386,-,0,0,1,FBtr0078444,0,0,0,FBpp0078098
CG14562,FBgn0037142,3L,21942221,21949866,+,0,1,0,FBtr0078472,1.736448,4.2712175,1.2905045,FBpp0078125
CG14562,FBgn0037142,3L,21942221,21949866,+,0,1,0,FBtr0334088,3.28427866666667,1.8308695,1.737264,FBpp0306213
CG14561,FBgn0037149,3L,22065907,22067216,+,1,1,1,FBtr0078480,24.0549676666667,23.9954385,12.1004885,FBpp0078133
CG14561,FBgn0037149,3L,22065907,22067216,+,1,1,1,FBtr0334111,3.84356166666667,4.0465585,0,FBpp0306231
CG13185,FBgn0033661,2R,11867876,11885585,-,1,0,0,FBtr0310323,4.20793033333333,6.6315525,0.863154,FBpp0302006
CG31205,FBgn0051205,3R,20731631,20732707,+,0,0,0,FBtr0300451,0,0,0,FBpp0289679
CG31205,FBgn0051205,3R,20731631,20732707,+,0,0,0,FBtr0346092,0,0,0,FBpp0311926
lncRNA:CR44605,FBgn0265816,2L,18003368,18003616,+,0,0,0,NA,NA,NA,NA,NA
Cyp305a1,FBgn0036910,3L,19810403,19813339,-,0,0,0,FBtr0074925,0.422230666666667,0.055335,0.7014075,FBpp0074694
rictor,FBgn0031006,X,19252111,19261240,-,0,0,0,FBtr0074689,21.118554,11.6171515,20.3893845,FBpp0074458
rictor,FBgn0031006,X,19252111,19261240,-,0,0,0,FBtr0343634,0,0.958569,0,FBpp0310227
rictor,FBgn0031006,X,19252111,19261240,-,0,0,0,FBtr0343635,3.92081866666667,1.455629,4.3206675,FBpp0310228
vig2,FBgn0046214,3R,25123373,25125619,+,0,1,1,FBtr0084775,153.969881333333,58.4229455,142.9321405,FBpp0084150
vig2,FBgn0046214,3R,25123373,25125619,+,0,1,1,FBtr0084776,119.905461333333,48.792758,88.000222,FBpp0084151
vig2,FBgn0046214,3R,25123373,25125619,+,0,1,1,FBtr0084777,0,0,0,FBpp0084152
vig2,FBgn0046214,3R,25123373,25125619,+,0,1,1,FBtr0113354,365.461110333333,269.689553,196.2450715,FBpp0112266
CG8204,FBgn0034033,2R,15573144,15573991,-,0,1,0,FBtr0087349,0,0.5846065,0,FBpp0086482
CG8204,FBgn0034033,2R,15573144,15573991,-,0,1,0,FBtr0340005,45.799368,40.541473,30.4105315,FBpp0309024
hppy,FBgn0263395,2R,19178738,19227193,+,0,1,1,FBtr0086503,7.29915333333333,4.4721775,6.906128,FBpp0085691
hppy,FBgn0263395,2R,19178738,19227193,+,0,1,1,FBtr0086504,7.84193266666667,0,23.016252,FBpp0085692
hppy,FBgn0263395,2R,19178738,19227193,+,0,1,1,FBtr0340454,0.419774,0,0,FBpp0309396
hppy,FBgn0263395,2R,19178738,19227193,+,0,1,1,FBtr0340455,0,4.825358,0.805636,FBpp0309397
hppy,FBgn0263395,2R,19178738,19227193,+,0,1,1,FBtr0340456,4.40457633333333,7.638694,2.8792325,FBpp0309398
CG10674,FBgn0035592,3L,5135748,5136292,-,0,0,0,FBtr0077181,66.674208,79.9637155,94.140348,FBpp0076884
CG10672,FBgn0035588,3L,5140440,5141646,-,0,0,0,FBtr0077179,38.865041,29.932189,38.9408375,FBpp0076882
Mst77F,FBgn0086915,3L,20816901,20818027,-,0,0,0,FBtr0078270,0.120604,0,0,FBpp0077928
asRNA:CR45952,FBgn0267614,3L,21302421,21304135,+,0,1,1,NA,NA,NA,NA,NA
Pif2,FBgn0046873,3R,6549036,6549983,+,0,0,0,FBtr0081676,0,0,0,FBpp0081176
Pif1,FBgn0031540,2L,3467342,3470004,-,0,0,0,FBtr0077569,9.039932,8.3846905,7.4607555,FBpp0077258
Pif1,FBgn0031540,2L,3467342,3470004,-,0,0,0,FBtr0343239,2.22450333333333,0.904207,0,FBpp0309921
asRNA:CR45951,FBgn0267613,3L,21194617,21196136,+,0,0,0,NA,NA,NA,NA,NA
CG18449,FBgn0033285,2R,8367163,8367927,-,0,0,0,FBtr0089732,0,0,0,FBpp0088673
CG12817,FBgn0037798,3R,10223440,10224725,-,0,0,0,FBtr0110952,0,0,0,FBpp0110252
asRNA:CR45955,FBgn0267617,3L,21636643,21637314,-,0,0,0,NA,NA,NA,NA,NA
CG12818,FBgn0037809,3R,10331581,10332695,+,0,0,0,FBtr0082230,10.514676,11.862647,15.9673035,FBpp0081708
CG18446,FBgn0033458,2R,9871470,9873646,+,0,0,0,FBtr0088376,74.4549433333333,0.9521555,6.770937,FBpp0087464
Ranbp16,FBgn0053180,X,15927185,15933867,-,0,0,0,FBtr0074162,3.48642966666667,5.9743545,3.9009415,FBpp0089083
Ranbp16,FBgn0053180,X,15927185,15933867,-,0,0,0,FBtr0340311,0,0,0,FBpp0309272
Ranbp16,FBgn0053180,X,15927185,15933867,-,0,0,0,FBtr0303645,0,0.166291,0,FBpp0292662
Ranbp16,FBgn0053180,X,15927185,15933867,-,0,0,0,FBtr0303646,6.913814,8.0019485,3.209494,FBpp0292663
Ranbp16,FBgn0053180,X,15927185,15933867,-,0,0,0,FBtr0303647,0.182021666666667,0.1438835,0,FBpp0292664
Ranbp16,FBgn0053180,X,15927185,15933867,-,0,0,0,FBtr0303648,1.59027066666667,1.6274955,0,FBpp0292665
lncRNA:CR34044,FBgn0054044,3R,13712469,13714204,-,0,0,0,NA,NA,NA,NA,NA
lncRNA:CR34046,FBgn0054046,3R,31709275,31709788,+,0,0,0,NA,NA,NA,NA,NA
lncRNA:CR34047,FBgn0054047,3L,5098376,5099795,-,0,0,0,NA,NA,NA,NA,NA
asRNA:CR43468,FBgn0263445,2R,12875164,12877280,+,0,0,0,NA,NA,NA,NA,NA
asRNA:CR43469,FBgn0263446,2R,12872756,12875087,+,0,1,1,NA,NA,NA,NA,NA
CG8209,FBgn0035830,3L,7976406,7977849,+,0,0,0,FBtr0076753,169.609291333333,108.8427225,122.3136355,FBpp0076470
lncRNA:CR44698,FBgn0265909,2L,4348318,4348678,+,0,0,0,NA,NA,NA,NA,NA
lncRNA:CR44699,FBgn0265910,2L,4349172,4349685,+,0,0,0,NA,NA,NA,NA,NA
lncRNA:CR44696,FBgn0265907,2L,18290427,18291236,-,0,0,0,NA,NA,NA,NA,NA
lncRNA:CR44697,FBgn0265908,2L,4347501,4347954,+,0,0,0,NA,NA,NA,NA,NA
lncRNA:CR44694,FBgn0265905,2L,18309629,18310010,+,0,0,0,NA,NA,NA,NA,NA
lncRNA:CR44695,FBgn0265906,2L,18310103,18310502,+,0,0,0,NA,NA,NA,NA,NA
asRNA:CR43464,FBgn0263441,2L,2000058,2003935,+,0,0,0,NA,NA,NA,NA,NA
H15,FBgn0016660,2L,5404280,5416593,+,0,0,0,FBtr0079076,0,0,0,FBpp0078710
H15,FBgn0016660,2L,5404280,5416593,+,0,0,0,FBtr0343225,0,0,0,FBpp0309914
asRNA:CR43466,FBgn0263443,2R,24881130,24881817,-,0,0,0,NA,NA,NA,NA,NA
asRNA:CR43467,FBgn0263444,2R,10139262,10142074,-,0,0,0,NA,NA,NA,NA,NA
nocte,FBgn0261710,X,10461865,10474675,-,0,1,1,FBtr0332953,1.89428033333333,1.170538,1.904993,FBpp0305169
